NUMERO,ORDEM,ORCAMENTO,VENDA,DATA,TIPO,SERVICO,PRODUTO,UNIDADE,CODFOR,FORNECEDOR,CODPRO,DESCRICAO,CUSTO,VALOR,QUANTIA,DESCONTO,DESCONTOP,TOTAL,CODUSU,USUARIO,STATUS,CONTROLE,REFERENCIA,DATA_ENTRE,HORA_ENTRE,FALTAS,OBS,BARRA,TABELA1,TABELA2,TABELA3,TABELA,CODTEC,TECNICO,PEDIDO,DATASAI,HORASAI,NF,BC_ST,VAL_ST,TELEFONE
1,False,False,False,2022-10-11,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,9,BOMBA AGUA,188.03,188.03,1.0,0.0,0.0,188.03,0,,False,,,,,0.0,,,True,False,False,1,,,,,,,,,
2,False,False,False,2022-10-07,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,24,SENSOR ROTACAO,97.8,97.8,1.0,0.0,0.0,97.8,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
3,False,False,False,2022-10-07,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,25,PIVO SUSPENSAO,44.79,44.79,1.0,0.0,0.0,44.79,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
4,False,False,False,2022-10-07,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,26,HOMOCINETICA,127.22,127.22,2.0,0.0,0.0,254.44,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
5,False,False,False,2022-10-07,PRODUTO,False,False,LT,1,ZENO AUTO PEÇAS,27,LUB DIESEL 5W30,69.94,69.94,8.0,0.0,0.0,559.52,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
5,False,False,False,2022-10-07,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,28,BOBINA IGNICAO,237.47,237.47,1.0,0.0,0.0,237.47,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
5,False,False,False,2022-10-07,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,29,FILTRO LUB DIESEL,29.58,29.58,1.0,0.0,0.0,29.58,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
6,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,30,PIVO SUSPENCAO DIREITO,18.64,65.05,1.0,0.0,0.0,65.05,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
6,False,False,False,2022-10-13,PRODUTO,False,False,UN,1,ZENO AUTO PEÇAS,31,BUCHA BANDEJA DIANTEIRA,18.64,18.64,1.0,0.0,0.0,18.64,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
7,False,False,False,2022-10-06,PRODUTO,False,False,KT,1,ZENO AUTO PEÇAS,32,KIT COIFA HOMOCINETICA RODA,22.25,22.25,1.0,0.0,0.0,22.25,0,,False,E,,,,0.0,,,True,False,False,1,,,,,,,,,
