REGISTRO,MODELO,TEXTO,LINK1,LINK2,LINK3,LINK4,LINK5,NAVEGADOR,LINK,FECHAJAN,TITULONOR,TITULONEG,TITULOITA,TEXTONOR,TEXTONEG,TEXTOITA,BOMDIA,BOATARDE,BOANOITE,ABORDAGEM,ABORDAGEM1,ABORDAGEM2,ESPERA1,ESPERA2,ESPERA3,ESPERA4,ESPERA5,ESPERA6,LIMITEHMSG,ZERAR,COPIAR,MODELOPER,TECLATAB,RECADO
1,Seu veículo está pronto,"Voce já pode vir retirá-lo.

Formas de pagamento: Dinheiro, Pix, Cartão de credito e debito.

Chave: 17.704.393/0001-17

Nome: CESAR LUIS RAMOS ME

Instituição: CCLAA NOVA TRENTO",,,,,,,,False,False,False,False,False,False,False,,,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,,
2,Passando pra perguntar se avaliou nosso orçamento.,"Há algum detalhe que eu possa esclarecer melhor?
Ficarei satisfeito em ajudar.",,,,,,,,False,False,False,False,False,False,False,,,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,,
3,Passando pra perguntar se avaliou o nosso orçamento.,"Há algum detalhe que eu possa esclarecer melhor?
Ficarei satisfeito em ajudar.",,,,,,,,False,False,False,False,False,False,False,,,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,,
4,CUPOM DE DESCONTO,"Faça a revisão do seu veiculo e aproveite o cupom de desconto da SUL AUTO CENTER!
Confira e faça já o seu agendamento.
",,,,,,,,False,False,False,False,False,False,False,,,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,,
5,Feliz aniversário!,Hoje queremos lhe parabenizar pela passagem do seu aniversário! Que este novo ciclo lhe traga mais sonhos e muitas esperanças. Nós da equipe SUL AUTO CENTER desejamos a você querido cliente muitas felicidades e muita saúde! Viva a vida intensamente! Parabéns!,,,,,,,,False,False,False,False,False,False,False,,,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,,
7,Orçamento,"Seu veiculo já foi avaliado e aguardando a aprovação do seu orçamento.
 
Apos a APROVAÇÃO do orçamento é necessário o pagamento de 50% do valor para dar prosseguimento devido aos serviços de retifica e algumas peças que são pagas a vista. Este adiantamento tambem pode ser parcelado no cartão da mesma forma que vc faria o valor integral(caso for pagar com cartão).
Formas de pagamento: Dinheiro, Pix, Cartão de debito, credito com parcelamento em até 12x e parcelamento pela VIA CREDI em até 36x .



Aguardamos o seu retorno",,,,,,chrome.exe,https://web.whatsapp.com/send?phone=,True,True,False,False,False,False,True,*Bom dia!*,*Boa tarde!*,*Boa noite!*,Tudo bem?,True,True,11.0,0.3,0.3,2.5,10.0,5.0,50,True,False,False,,
8,Sua satisfação é nosso maior objetivo!,"Por isso, estamos felizes que você tenha gostado do nosso produto. Obrigado pelo feedback!”",,,,,,,,False,False,False,False,False,False,False,,,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,,
9,Conte sempre conosco!,Saber que você está satisfeito com nossos serviços é a melhor recompensa! Muito obrigado pelo seu feedback.,,,,,,,,False,False,False,False,False,False,False,,,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,,
18,Infelizmente ainda não identificamos seu pagamento,*Que tal entrar em contato com nossa equipe para continuar aproveitando os benefícios dos nossos serviços?*,,,,,,,,False,False,False,False,False,False,False,,,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,,
20,Aguardando o seu retorno,Estamos aguardando o seu contato,https://www.fpqsystem.com.br/videov1.0.html,https://www.youtube.com/watch?v=Ka95TTjPyyA&feature=emb_title,https://www.fpqsystem.com.br/comprar_vendas1.0.html,,,,,False,False,False,False,False,False,False,,,,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,,
