CODIGO,REFERENCIA,BARRA,DESCRICAO,SERVICO,PRODUTO,TIPO,UNIDADE,CODCAT,CATEGORIA,CODMAR,MARCA,QUANT_MINI,QUANT_ATUA,QUANT_MAX,QUANT_UNID,P_CUSTO,P_VENDA,MENSAGEM,IPI,COD_SIT,COD_IPI,AL_IPI,CLAS_FIS,AL_ICMS,FOTO,OBS,IMPRESSO,PECA,QUANTIDADE,GRUPO,M3,QUANTIDADE,COMPRADO,DESCONTO,DATA,ENTANT,SAIANT,SALDOANT,ENTRADA,SAIDA,SALDO,MARGEM,AVISOMIN,AVISOZER,FALTA,MAIS_VEND,MAIS_QUAN,PRAZO,MARGEM2,ATACADO,MARGEM3,FOTO1,FOTO2,LOCALIZA,VENZER,VENCIMENTO,LUCRO,TOT_CUSTO,LUCROP,BLOQUEARD,LIMITED,COMISSAO,DESC_NCM,ORIG_PROD,CODI_IPI,CODI_PIS,CODI_COFI,TRIB_NACI,TRIB_IMPO,TRIB_ESTA,TRIB_MUNI,CFOP_VEND,CFOP_DESC,ICMS_ST_S,ICMS_ST_N,ICMS_REDU,PROD_ST,D_ORIGEM,D_PIS,D_COFINS,D_IPI,D_CSOSN,CODI_CSOSN,CODI_CEST,CODI_ESPEG,DESC_GRUPE,PROD_CONT,GTIN,DESC_ANP,BC_ST,VAL_ST,EPARALELO
1,,,RETIFICA,False,True,PRODUTO,PCA,3,PEÇA,185,..,0.0,-9.0,0.0,0.0,2490.0,100.0,,,,,0.0,,0,,,False,0,,,,,False,0,2026-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,19610.5,15.0,0.0,0.0,0.0,0.0,,,,True,,11912.03,7698.47,154.73,False,0.0,12.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,12.0
2,,,SERVIÇO TECNICO,True,False,SERVICO,HOR,1,MAO DE OBRA,0,,0.0,0.0,0.0,0.0,0.0,120.0,,,,,0.0,,0,,,False,0,,,,,False,0,2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,186731.99,625.0,0.0,0.0,0.0,0.0,,,,False,,186731.99,0.0,-100.0,False,0.0,12.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,0.0
4,,,KIT DISTRIBUICAO CORRENTE COMANDO,False,True,PRODUTO,KT,3,PEÇA,0,,0.0,-1.0,0.0,0.0,1034.27,1687.0,,,,,0.0,,0,,,False,0,,,,,False,0,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,63.11,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,0.0,0.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,2.0
5,,,JOGO PARAFUSO,False,True,PRODUTO,JG,3,PEÇA,0,,0.0,-26.0,0.0,0.0,120.34,387.59,,,,,0.0,,0,,,False,0,,,,,False,0,2026-04-06,0.0,0.0,0.0,0.0,0.0,0.0,222.08,True,True,-2.0,370.0,2.0,0.0,0.0,0.0,0.0,,,,True,,111.19,258.81,42.96,False,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,5.0
6,,,JUNTA RETIFICA,False,True,PRODUTO,UN,3,PEÇA,0,,0.0,0.0,0.0,0.0,278.24,500.0,,,,,0.0,,0,,,False,0,,,,,False,0,2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,79.7,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,0.0,0.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,0.0
7,,,KIT VALVULA TERMOSTATICA,False,True,PRODUTO,UNI,3,PEÇA,0,,0.0,0.0,0.0,0.0,311.47,367.44,,,,,0.0,,0,,,False,0,,,,,False,0,2026-03-09,0.0,0.0,0.0,0.0,0.0,0.0,17.97,True,True,0.0,1415.0,6.0,0.0,0.0,0.0,0.0,,,,True,,102.7,1312.3,7.83,False,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,5.0
8,,,TUBO REFRIGERAÇÃO,False,True,PRODUTO,UN,3,PEÇA,0,,0.0,0.0,0.0,0.0,25.47,39.78,,,,,0.0,,0,,,False,0,,,,,False,0,2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,56.17,True,True,-1.0,45.0,1.0,0.0,0.0,0.0,0.0,,,,True,,20.57,24.43,84.2,False,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,2.0
9,,,BOMBA AGUA,False,True,PRODUTO,UN,3,PEÇA,0,,0.0,0.0,0.0,0.0,222.0,259.74,,,,,0.0,,0,,,False,0,,,,,False,0,2026-04-07,0.0,0.0,0.0,0.0,0.0,0.0,17.0,True,True,0.0,8710.0,52.0,0.0,0.0,0.0,0.0,,,,True,,1107.17,7602.83,14.56,False,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,32.0
10,,,ADITIVO,False,True,PRODUTO,UNI,4,LUBRIFICANTE,185,..,0.0,0.0,0.0,0.0,15.38,30.0,,,,,0.0,,0,,,False,0,,,,,False,0,2023-03-23,0.0,0.0,0.0,0.0,0.0,0.0,95.06,False,True,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,,0.0,0.0,0.0,False,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,1.0
11,,,LUB 20W50,False,True,PRODUTO,LTR,4,LUBRIFICANTE,0,,0.0,27.0,0.0,0.0,17.63,30.0,,,,,0.0,,0,,,False,0,,,,,False,0,2024-10-25,0.0,0.0,0.0,0.0,0.0,0.0,70.16,True,True,0.0,3377.2,113.0,0.0,0.0,0.0,0.0,,,MINERAL 5.000,True,,1436.82,1940.38,74.05,False,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,False,False,0.0,,,,,,,,,0,,,,,0.0,0.0,26.0
