COD,NOM,EST,TEL1,RUA,BAI,CID,UF,CPL,CEP,INI,TEL2,TEL3,FAX,CEL,CTO,EMAIL,HOME,MSN,CGC,CPF,RG,ORGAO,IE,IM,OBS1,OBS2,OBS3,OBS4,OBS5,OBS6,OBS7,DATA,CODREP,REPRES,CODREG,REGIAO,TIPO,TABELA,FORNE,TRANS,CODTIP,ABORDAGEM
1,ZENO AUTO PEÇAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-11,,,,,,,,,0,
2,COREMMA LTDA,COREMMA,,,,,,,,,,,,,,,,,83109504000848,,,,,,,,,,,,,2022-10-13,,,,,,,,,0,
3,MAESTRI AUTO PEÇAS,MAESTRI AUTO PEÇAS,,,,,,,,,,,,,,,,,79246716000123,,,,,,,,,,,,,2022-10-13,,,,,,,,,0,
4,RET. MOT. BRUSQUENSE,,(47) 3351-2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-13,,,,,,,,,0,
5,BELLI & BELLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-13,,,,,,,,,0,
6,DABESUL DISTRIBUIDOR DE PEÇAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-04,,,,,,,,,0,
7,BATERIAS PIONEIRO DISTRIBUIDORA,,,,,,,,,,,,,,,,,,10627224000858,,,,,,,,,,,,,2022-11-07,,,,,,,,,0,
8,SIGA BEM DIST DE LUBRIFICANTES LTDA,,,,,,,,,,,,,,,,,,01104642000101,,,,,,,,,,,,,2022-11-07,,,,,,,,,0,
9,AVIV COMERCIO LTDA (MAUER),,,,,,,,,,,,,,,,,,47548650000130,,,,,,,,,,,,,2022-11-07,,,,,,,,,0,
10,SIMONI SCHERER RUPPENTHAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-07,,,,,,,,,0,
11,CESAR LUIS RAMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-07,,,,,,,,,0,
12,GF PNEUS COMERCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,0,
13,BRINDES BRUSQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,0,
14,VIA CREDI EMPRESARIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,0,
15,RETIFICA BONONOMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,0,
16,RAVEN SCANNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,0,
17,BBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,0,
18,SICOOB EMPRESARIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,0,
19,UNIFIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,0,
20,SERASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,,,,,,,,0,
21,MOURA DISTRIBUIDORA DE BATERIAS,,,,,,,,,,,,,,,,,,47496711000162,,,,,,,,,,,,,2022-11-16,,,,,,,,,0,
22,HD SOFTWARE,,,,,,,,,,,,,,,,,,27510871000101,,,,,,,,,,,,,2022-11-16,,,,,,,,,0,
23,LINK COMERCIAL IMPORTADORA,,,,,,,,,,,,,,,,,,06089521001549,,,,,,,,,,,,,2022-11-16,,,,,,,,,0,
24,ATRIA LUB COMERCIO DE LUBRIFICANTES,,,,,,,,,,,,,,,,,,06032022000110,,,,,,,,,,,,,2022-11-17,,,,,,,,,0,
25,SF COMERCIO DE PEÇAS AUTOMOTIVAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-25,,,,,,,,,0,
26,GUABIRUBA SANEAMENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-25,,,,,,,,,0,
27,SCHRADER COMERCIO E REPRESENTACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-29,,,,,,,,,0,
28,CELESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-05,,,,,,,,,0,
29,GERENCIA CONTABILIDADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-05,,,,,,,,,0,
30,PLANO VIVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-05,,,,,,,,,0,
31,OLARIA PATROCINIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-06,,,,,,,,,0,
32,CELESTIAL BRINDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-06,,,,,,,,,0,
33,MISSAO MANGUEIRA E VEDADORES,,,,,,,,,,,,(47)99132-9638,,,,,,,,,,,,,,,,,,,2022-12-08,,,,,,,,,0,
34,SINDICATO DOS METALURGICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-10,,,,,,,,,0,
35,RECEITA FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-10,,,,,,,,,0,
36,BRUSAUTO DISTRIBUIDORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-19,,,,,,,,,0,
37,SELECAO NATURAL CERVEJARIA,,,,,,,,,,,,,,,,,,12605930000158,,,,,,,,,,,,,2022-12-19,,,,,,,,,0,
