REGISTRO,DATA,CODCXA,CAIXA,ORDEM,PEDIDO,DATAOS,TOTAL,TITULO,PARCELA,PARCELAS,CHEQUE,VALOR,HISTORICO,CODCTA,NOMECTA,FORNECE,CODFOR,SALDO,CODNIV,DESNIV,CTO,OBS,DATAV,DATAP,VALORP,SITUACAO,JUROS,MULTA,RECIBO,FORMA,PRAZO,PV,HISTORICO2,HISTORICO3,PTITULO,PCHEQUE,PERJUROS,PERMULTA,PERDESC,DESCONTO,DIAS,DP,DF,SELECIONA
7,2022-10-07,1,CAIXA DINHEIRO,,4,2022-10-07,254.44,CO000004,1,,,254.44,ZENO AUTO PEÇAS,2,COMPRA PRODUTOS PRA REVENDA,ZENO AUTO PEÇAS,1,,0,CUSTO GERAL,,,2022-10-07,2022-10-13,254.44,P,,,,Boleto,,,,,True,,,,,,,True,,
21,2022-10-06,1,CAIXA DINHEIRO,,8,2022-10-06,396.74,CO000008,1,,,396.74,ZENO AUTO PEÇAS,2,COMPRA PRODUTOS PRA REVENDA,ZENO AUTO PEÇAS,1,,0,CUSTO GERAL,,,2022-10-06,2022-10-13,396.74,P,,,,Boleto,,,,,True,,,,,,,True,,
14,2022-10-19,1,CAIXA DINHEIRO,,,2022-10-19,144.58,CO000122,1,1,0,144.58,BATERIAS PIONEIRO DISTRIBUIDORA,2,COMPRA PRODUTOS PRA REVENDA,BATERIAS PIONEIRO DISTRIBUIDORA,7,7893.19,0,CUSTO GERAL,265,,2022-11-18,2022-12-02,144.58,P,0.0,0.0,,BOLETO,0,2022-11-18,,,True,,0.0,0.0,0.0,0.0,14,True,False,False
18,2022-10-25,1,CAIXA DINHEIRO,,,2022-10-25,4371.0,CO000123,1,3,0,1457.0,SIGA BEM DIST DE LUBRIFICANTES LTDA,2,COMPRA PRODUTOS PRA REVENDA,SIGA BEM DIST DE LUBRIFICANTES LTDA,8,10963.6,0,CUSTO GERAL,269,,2022-11-24,2022-12-02,1457.0,P,0.0,0.0,,BOLETO,30,2022-11-24,,,True,,0.0,0.0,0.0,0.0,8,True,False,False
19,2022-10-25,6,VIA CREDI PJ,,,2022-10-25,4371.0,CO000123,2,3,0,1457.0,SIGA BEM DIST DE LUBRIFICANTES LTDA,2,COMPRA PRODUTOS PRA REVENDA,SIGA BEM DIST DE LUBRIFICANTES LTDA,8,0.0,0,CUSTO GERAL,520,,2022-12-24,2022-12-22,1457.0,P,0.0,0.0,,BOLETO,30,2022-11-24,,,True,,0.0,0.0,0.0,0.0,,True,False,
20,2022-10-25,1,CAIXA DINHEIRO,,,2022-10-25,4371.0,CO000123,3,3,0,1457.0,SIGA BEM DIST DE LUBRIFICANTES LTDA,2,COMPRA PRODUTOS PRA REVENDA,SIGA BEM DIST DE LUBRIFICANTES LTDA,8,4870.91,0,CUSTO GERAL,699,,2023-01-23,2023-01-30,1457.0,P,0.0,0.0,,BOLETO,30,2022-11-24,,,True,,0.0,0.0,0.0,0.0,7,True,False,False
54,2022-10-25,1,CAIXA DINHEIRO,,,2022-10-25,5980.0,CO000124,1,5,0,1196.0,AVIV COMERCIO LTDA (MAUER),2,COMPRA PRODUTOS PRA REVENDA,AVIV COMERCIO LTDA (MAUER),9,3364.13,0,CUSTO GERAL,260,,2022-11-14,2022-12-02,1196.0,P,0.0,0.0,,BOLETO,20,2022-11-14,,,True,,0.0,0.0,0.0,0.0,18,True,False,False
55,2022-10-25,6,VIA CREDI PJ,,,2022-10-25,5980.0,CO000124,2,5,0,1196.0,AVIV COMERCIO LTDA (MAUER),2,COMPRA PRODUTOS PRA REVENDA,AVIV COMERCIO LTDA (MAUER),9,1196.0,0,CUSTO GERAL,309,,2022-12-04,2022-12-08,1196.0,P,0.0,0.0,,BOLETO,20,2022-11-14,,,True,,0.0,0.0,0.0,0.0,4,True,False,False
56,2022-10-25,6,VIA CREDI PJ,,,2022-10-25,5980.0,CO000124,3,5,0,1196.0,AVIV COMERCIO LTDA (MAUER),2,COMPRA PRODUTOS PRA REVENDA,AVIV COMERCIO LTDA (MAUER),9,0.0,0,CUSTO GERAL,521,,2022-12-24,2022-12-22,1196.0,P,0.0,0.0,,BOLETO,20,2022-11-14,,,True,,0.0,0.0,0.0,0.0,,True,False,
57,2022-10-25,6,VIA CREDI PJ,,,2022-10-25,5980.0,CO000124,4,5,0,1196.0,AVIV COMERCIO LTDA (MAUER),2,COMPRA PRODUTOS PRA REVENDA,AVIV COMERCIO LTDA (MAUER),9,459.0,0,CUSTO GERAL,603,,2023-01-13,2023-01-13,1196.0,P,0.0,0.0,,BOLETO,20,2022-11-14,,,True,,0.0,0.0,0.0,0.0,,True,False,False
