PLACA,CODCLI,OBSERVA
PXN7J5,2,          
MDP1E9,4,          
QJN215,9,          
QIA2J0,13,          
FSZ3E7,11,          
MET812,10,          
ISR1D6,6,          
MBL3H3,6,          
MJF309,21,          
MLS3I0,1290,          
MBN993,23,          
MJP7D7,6,          
QHO831,24,"          

"
AOG693,3,          
MMD693,26,          
MFZ335,237,          
AOG215,27,          
QII5D6,25,          
APJ2B2,28,          
AWV7A6,10,          
MIS7B7,121,          
MVD2F6,31,          
QIE257,6,          
DYD946,1151,          
MDZ503,6,          
MID995,36,"          
"
OHX3I9,38,          
MFY107,6,          
MGX452,40,          
LXT2G2,41,          
QHF6F1,42,          
IHE5D2,44,          
MGN428,45,          
LXW5B3,46,          
ARU869,47,          
MGM718,48,          
MKR0D0,929,          
MHQ949,50,          
MAV595,51,          
RAD896,55,          
FEC039,49,          
AJS692,58,          
QHM9B6,57,          
FEJ3H6,60,          
MFX948,61,          
MHQ208,63,          
MEE790,74,          
ASC4D6,59,          
MFC950,75,          
AHK330,20,          
MDC102,53,          
AMH439,76,          
AIB548,77,          
MIA277,83,          
RAC3A0,78,          
OAQ1F0,79,          
ELM2I0,1,          
NYZ0B7,66,          
MFN7A4,81,          
HHK932,80,          
MGB321,82,          
IJI864,88,          
MBF0H8,89,          
MLM4G7,90,          
QOH5G9,91,          
AJT7B5,92,          
MIH021,84,          
MKM0H1,93,CLIENTE CIENTE DAS BALANÇAS DANIFICADAS  
QJX2J4,85,          
QIS7B6,346,RODIZIO DOS PNEUS          
MIS373,94,          
MGX423,95,          
MLF223,96,          
AJO7H7,367,          
MII756,100,          
KEN1J2,98,          
MKC005,99,          
MEQ189,352,         
AYT184,513,          
MJJ206,104,          
MCZ563,105,          
QHR4J7,107,          
MMM1D1,108,          
OJM130,106,          
MEK1G0,110,          
MFU923,111,          
MIA452,109,          
QJZ334,114,          
ELM210,115,          
MIZ768,116,          
IKW0A6,138,          
MGU808,119,          
KQJ8G0,113,          
FJD0J8,122,          
MFB146,123,          
MIW5E5,124,          
MJD9F8,116,          
QHN7A9,127,          
MJV379,129,          
FQI9C6,126,          
MJV006,120,          
MGT582,130,          
MJA5B6,125,          
IRX9G8,128,          
MJG600,131,          
MMK518,115,          
MKY234,132,          
MGS810,69,          
AJL493,133,          
ARV0B1,134,          
MGS188,135,          
MEU587,136,          
MGS8I0,69,          
MGD059,140,          
MIL799,141,
MMH859,142,          
BEI2J1,143,          
BBZ4E8,144,          
MFR5I7,145,          
APP857,146,          
AVE2H7,147,          
MJV876,149,          
ROV012,150,          
RDW0I2,150,          
RDW01I,150,          
IJI8G4,88,          
QJV9D0,151,          
MGF053,352,          
MLE6B1,152,          
MHH669,153,"          
"
MJP9J6,156,          
PUX0A6,157,          
MJF928,158,          
LYQ4A1,159,          
MDP112,160,"          


"
IPT092,161,          
ALB2J6,162,          
MJS229,72,          
MOL296,163,          
QHV079,165,          
MEI8H9,166,          
MKF5G0,167,          
LXI619,53,          
MLP396,171,          
EIA810,639,          
QHG8A7,173,          
MGM363,174,          
MKS360,175,          
FCO9I1,176,          
DKN6J9,155,          
MEM9A2,177,          
FEU0E0,178,          
EYI6A9,179,          
MFX0D1,20,          
LXU349,170,          
EAP418,180,          
MJX3A1,184,          
HSX4E2,183,          
KJH9J0,169,          
EQT400,185,          
MJT135,184,          
MGZ9A5,188,          
MHY8B0,189,          
PWK189,187,          
NCO5A1,191,          
EMM764,186,          
ERJ4G7,194,          
IQT342,137,          
MIZ7D0,192,          
MKI244,195,          
COB331,196,          
MFK165,190,          
MDI736,197,          
MVF010,198,          
ALY396,199,"          
"
QHF4A3,276,          
MHR029,200,          
MMH367,205,          
LYH605,206,          
MFQ985,207,          
MMK5B8,1100,          
MBV063,210,          
AJS2E1,211,          
APC198,988,          
ARM8D3,208,          
HFG187,213,          
MAG339,214,          
MKG7F7,202,          
ALL711,62,          
MLP618,216,          
MAR4A0,215,          
MES193,212,          
AFO777,204,          
QIE198,99,"          
"
LWY9B9,221,          
MID6C2,1030,          
ARS0G7,223,          
LYK099,225,          
RDV5D3,227,          
LYD1G2,228,          
MKF665,219,          
MLX2C3,230,          
KGD7F6,231,          
MGG476,187,          
FAD9C8,218,          
FKI9C6,126,          
NUQ144,97,          
MHA4A3,236,          
MGU5A4,1413,          
MGS170,240,          
FRX8I3,226,          
FOI3B5,234,          
MHR166,242,          
QJN572,244,          
QHZ5D5,65,          
QHD448,373,          
MHR046,235,          
MEC230,229,cliente ciente que o reservatorio do limpador de parabrisa está danificado.
FTX707,247,          
MHR127,238,"Peças Danificadas: pivo suspensao LE, Caixa direção, 02 coxim amortecedor, freios.          "
MJQ532,252,          
CFQ760,253,          
JRG490,241,          
OKD446,255,          
MIP790,243,          
MUD7F5,256,          
EEN1I9,257,          
MLY870,118,          
MFB0B9,258,          
QJG0I3,5,"          
"
MBG213,260,          
FYH3H7,261,          
QUI9A3,262,          
EWU343,70,          
LXJ208,263,          
MDB6H4,139,"          
"
MEP662,248,          
MEP604,264,          
MHB616,34,          
MIU566,265,          
HYV3C8,259,          
MAK0H7,254,          
MBF2G7,266,          
QHR5D2,270,          
MMJ9E5,191,          
MLV323,269,          
AWO1I7,267,          
EWT055,268,          
DAL556,272,          
KAI038,3,          
MGE543,354,          
ACU201,1552,          
AFZ202,277,          
OQS4A4,276,          
APH452,281,          
DTT4D6,282,          
INR057,283,          
MKJ4J2,273,"          



"
MJK296,71,"          
"
BDR9D9,39,          
QHY074,284,          
MWL193,66,          
MDM555,285,          
MGH005,286,          
CSK471,287,          
MHE5E8,447,          
MIP800,1072,          
QHS156,205,          
BDJ0I4,289,          
MJZ3I9,290,          
CKV108,291,          
MEB621,292,          
QHI9H2,70,          
KOB5C8,294,          
AGB703,295,          
MHC7I0,293,          
DUU607,296,          
MCW4F0,297,          
ERF8H7,96,          
MMI037,219,"          
"
MJV162,298,          
MBO685,299,          
MBV912,37,          
BGK1G0,300,          
DPX241,302,          
LTU3F4,303,          
FZV7J5,305,          
MJE310,308,          
ARV869,47,          
DRH836,37,"          
"
EYS5H1,309,          
MLY965,311,          
NWT5E4,310,          
PWM759,148,          
OKD9A0,312,          
FOH2J7,313,
MGW9J4,314,          
CQM542,315,          
MIL271,72,          
MKA227,317,          
QIX662,318,          
MLZ1F7,319,          
QHI837,321,          
IIC826,322,          
MGH3G4,323,          
LZJ878,324,          
MIS929,8,COXIM DO AMORTECEDOR DIANTEIROS DANIFICADOS          
PWM7A9,148,          
BCE3C1,325,          
MDN4D1,314,          
FDO154,327,"          
"
BDQ4I6,328,          
MMM250,330,          
BVM357,334,          
HHS191,335,"          
"
MHP5J4,336,          
HJW656,333,          
MBB6B6,332,          
LZS168,320,          
LZV529,339,          
PZV117,340,"
"
MEZ6C6,331,          
HBU074,341,          
BAZ7H1,351,          
MHS7C0,343,          
MEM7G6,344,          
MHP381,347,          
MHB6D1,969,"          
"
MEH135,345,          
MJX351,30,          
MKU029,329,          
LZT935,223,          
AVV2D7,350,          
MLV905,70,"          
"
JQB355,353,          
MEM3H0,337,          
OWN422,355,          
MHC5J3,50,          
LXI634,335,          
MKM425,357,          
MJJ970,358,          
QJH3F8,360,          
AUD8A9,356,          
MJJ668,493,          
MGX259,56,          
MIW5J3,162,          
MJV014,362,"          
"
JMH3A8,363,          
PFO652,365,          
LYQ325,366,          
MEO686,56,          
MLY049,359,          
MFV5C3,368,          
MMF5J3,364,          
ISF779,370,          
FVA1F8,371,          
QTL433,372,          
MMC735,116,          
QPI4H9,373,          
MKH9C8,374,          
MIV8I6,6,          
QJP2G9,375,          
MFV069,376,          
MJU072,661,INFORMADO AO CLIENTE A NECESSIDADE DE FAZER UMA REVISÃO NOS FREIOS E FREIO DE MAO.          
MJS8D9,378,"          
"
LYH806,380,          
IOL6B8,381,          
JHK0H9,382,          
MGK508,383,          
MHP9E9,374,          
RAF3I1,388,          
QHK153,384,          
MJS706,389,          
LYA1J3,393,          
MKT034,391,          
MW02J8,3,          
MFL718,394,          
AHM0B9,304,          
MJU876,1261,          
MJD7F5,256,          
QUL1E2,785,          
QHI7G0,399,          
ALE238,398,          
DWN0B7,400,          
JNQ351,1331,          
QHI468,403,          
MFH9J4,404,          
MCI514,405,          
DEX128,406,          
MDC546,408,          
MLH033,153,          
MBB627,410,          
MLH461,412,          
MKJ724,413,          
MBV090,414,          
MIZ3E4,415,          
LWV118,416,          
LCV7G2,107,          
MJP4D4,419,          
MKT234,132,          
MEZ348,420,          
QHG328,421,          
NEZ9I5,929,          
QJF9I5,411,          
MJB742,758,          
AKD0F8,422,          
LOC204,423,          
MHQ927,424,          
QIP567,425,          
OFT6E0,374,      
QNM5D1,427,          
MKN7E7,428,          
AKP198,429,          
MKH509,430,          
FSV7J5,305,          
QHB3I1,431,          
NCQ189,433,          
RDW2E7,434,          
MHO0G3,6,          
LZV613,435,"          
"
RAF378,436,          
MKT598,437,          
MJG6A3,438,          
MAS263,52,          
MHM1I2,164,          
MFV466,439,          
OTZ4A4,281,          
LZA243,441,          
QIA4E6,443,          
QIV715,446,          
MGW025,445,          
DQC1B8,38,          
EPE652,73,          
MDQ458,448,          
QHB7I7,47,          
RAG547,432,          
LYK152,451,          
CIL939,450,          
MJR709,266,          
MBZ132,453,          
AUL1C6,456,          
QIJ517,455,          
MKE661,457,          
HLR001,458,          
IIU586,459,          
QIM7H6,255,          
MLH838,70,          
MGY394,444,          
MCU5J9,460,          
ALE2F3,487,          
MKU828,608,          
BRI090,373,          
RAB816,461,          
IRF0C7,463,          
RDS4C4,71,          
JCS250,464,          
MMI487,465,          
RLB9H1,54,          
QQQ1B3,468,          
QHO3E6,466,          
QHQ3C5,1653,          
MHL236,222,          
MFY9B8,469,          
IGO5C9,472,          
MKR718,473,          
LYG084,230,          
MDC4J8,224,          
AOU041,366,          
EQG7B0,476,          
AKO271,478,          
MGC9F5,20,          
QHT245,380,          
MBO757,480,          
ASM293,482,          
MFL7H3,483,          
MLW0G7,485,          
GWH687,481,          
FEA544,300,          
AHG2G5,486,          
OPN1A3,488,          
LWW0D2,489,          
LZN300,262,          
MKE577,419,          
MJZ1F7,319,          
MGD464,490,          
BDN9J7,39,          
MGZ619,491,          
DBE225,492,          
AKU3E6,494,          
LZT294,306,          
MJH973,496,          
ILD4J5,497,          
AGR805,495,          
MKI612,498,          
MFO1C5,103,          
MER723,499,          
DVM607,500,          
MDO677,501,          
MJA957,213,          
MCM764,503,          
MKG167,504,          
MAX514,505,          
KWQ3F9,442,          
QIF7B1,508,          
MHA182,509,          
MHI564,507,          
MIX235,511,          
AVC635,53,          
JDR1D0,514,          
MEV627,515,          
FDM434,516,          
MKZ106,517,          
MBV5H8,518,          
MIW688,521,          
MEJ587,184,          
PGH3B0,520,          
ILQ5G4,523,          
MJR015,324,          
RAE466,454,          
LOK5D8,3,          
MET9D1,525,          
PWV299,479,          
RDU3A3,526,          
MJB200,6,          
DLS951,527,          
MBV312,514,          
RXM9H6,528,          
MCZ042,529,          
MJB2D0,6,          
MGL078,531,          
MLM005,533,          
MEI1B3,530,          
LIL939,534,          
MJV2B0,419,          
AXQ6I5,535,          
MLG510,532,          
QJP440,326,          
MIR963,537,"          
"
INT572,538,          
ANU355,539,          
AZI046,184,          
MID941,543,          
KCW299,544,          
MLP197,545,          
MLM790,546,          
MJM790,546,INFORMADO AO CLIENTE DOS 2 COXIM DO AMORTECEDOR DIANTEIRO DANIFICADOS
QHR1D6,547,          
ATN872,548,          
MHI239,540,          
CHR882,551,          
MJE890,552,          
MKC7J9,549,          
MGK502,550,          
MDI9D3,554,          
AVH3D1,313,          
DVB9F0,555,          
DDA9J9,159,          
MLK4E1,15,          
MEJ5D5,556,          
FIP269,557,          
LYI1F5,558,          
QPW3E6,559,          
MJR406,560,          
AZO2I7,561,          
QHL200,563,          
MGN937,564,          
MJZ2E4,565,          
MAO424,476,          
DST3C6,117,          
MDR618,567,          
MER382,571,          
MIE207,572,          
MJY521,573,          
MFS634,577,          
PWP2I7,65,          
EEM313,570,          
MCW070,284,          
NWA4I9,579,          
PYH773,576,          
MKC207,580,          
ADU0A4,581,          
MEG786,584,          
MJD739,578,          
NGI4F6,64,          
AZS3H7,583,          
QJQ895,587,          
ELQ8C6,297,          
MGR542,545,          
QHW546,589,          
LZU1B5,591,          
OKD3J3,586,          
MLZ8H2,159,          
QJO822,537,          
EME588,980,          
DVR253,597,          
IHA6H0,598,          
QNT204,599,          
ARQ0H1,600,          
OHG4E3,158,          
LY02F8,601,          
PEÇAS,141,"PEÇAS DANIFICADAS:
* 02 BARRA AXIAL
* 04 BUCHAS BALANÇA
*SUSPENSÃO TRASEIRA ESTÁ BATENDO."
MKK6A0,611,          
MJZ7H6,602,          
QHO5F8,604,          
FSL639,606,"peças danificadas:
02 trizetas
02 tulipas    "
QHW527,607,          
AQK0E0,612,          
MIJ924,613,          
BBV767,614,          
FFF7G3,615,          
QJA0I4,441,          
QHQ160,425,          
MGN110,585,          
OBV2F4,616,          
QHY553,617,          
MDE2J9,378,          
FSQ7G9,612,          
HQE841,221,          
MHF347,900,          
RAB0C2,756,   
MIB077,620,          
KWM1J1,480,          
ACV0J0,623,          
FQO8E5,624,          
QJZ7A9,232,          
MHL6E2,625,          
QJQ773,626,          
MGM396,622,          
MBT668,627,          
BBB056,628,          
MGN724,629,          
MLM771,630,          
OER2B7,631,          
MGO655,634,          
FIT636,118,          
OKF032,636,          
LZX543,637,          
LXH0C1,632,          
LZT6H6,638,          
RIQ4C0,635,          
KYH274,641,          
LYG0I4,230,          
MKX078,398,          
OLF3B1,11,          
QIG657,643,          
MBY620,644,          
QIM1J3,436,          
QHJ8I1,645,          
QJE422,646,          
DDL018,647,          
MCE267,59,          
MCY9G5,101,          
MDS7F8,780,          
ALC2F8,652,          
QIX932,653,rodizio pneus    
LZV466,128,          
QHU2D6,416,          
"109,63",37,          
FKO541,654,          
AHL5F6,655,          
MJS2C9,72,          
MOK302,656,          
MHL741,656,          
MCA953,657,          
MFI010,658,          
QIY812,441,          
MLR562,959,          
MEG714,660,          
MJZ618,662,          
MBH508,663,          
MGI1J7,664,          
MCR235,670,          
MJV156,4,          
MFR113,667,          
IVW4D1,609,          
QTL699,665,          
AZG2D7,669,          
QIN2B4,651,          
EIU962,666,          
KGO265,671,          
OKE9A5,673,          
MBB6C7,410,          
QHD9G4,674,          
22/11/,509,          
MLW6H9,672,          
MKJ199,676,conferir alinhamento          
ERG5D7,1618,          
MGS3A7,675,          
MEU991,462,          
AUY342,678,          
DFO1G8,159,          
MJV761,680,          
MGY516,681,          
LYL777,117,          
MCO655,682,"          
"
MJB950,683,          
NSP0G6,677,          
AVS9F6,46,          
LRP8G6,685,"          
"
PZS8D9,686,          
MKY578,687,          
MAK859,688,          
ANF7H6,691,          
MAU2D6,692,          
MJO5J0,690,          
QHI3A6,695,          
DDU811,694,          
QIN738,696,          
MIA3C4,697,          
RLJ7E6,71,          
QIY3J2,624,          
MKJ8A2,126,          
FHQ431,271,          
FFG9A9,148,          
MLA3C8,699,          
QJY3I7,541,          
QNZ3F3,701,          
QIC959,300,          
QHJ805,702,          
MKH0E5,704,          
MCH837,80,          
MLK0F2,675,          
JXO371,705,          
AXC3I7,707,          
AWN1D3,708,          
MCV896,709,          
IUU0J3,1008,          
MKS8E9,711,          
MDU600,706,          
DYF6A4,713,          
MFQ7C3,714,          
RAJ499,715,          
PHI8J6,712,          
ERN5A6,716,          
MMA8C7,577,          
MLP4F8,717,          
AVS5F6,46,          
MCN843,101,          
MHV838,718,          
MBB536,719,          
IKO4B4,720,          
QNM3J6,721,          
MKY848,723,          
MEP3D0,724,          
OIY3E5,722,          
MET319,725,          
IQW5C6,726,          
MIZ680,727,          
QHR561,12,          
MBC904,728,          
MKX817,729,"coxim amort dianteiro danificado
     "
MFS832,672,          
MCH471,51,          
BKA941,730,          
MDY199,731,RODIZIO PNEUS          
MKH1C3,585,          
GAF8A0,171,          
MKV558,733,          
